id_news,id_cm,id_cd,id_author,id_btv
4731575,1,26,436,null
4730586,1,26,190,null
4728189,1,26,412,null
4727226,1,26,190,null
4726910,1,26,445,null
4726825,1,26,445,null
4726734,1,26,188,null
4726674,1,26,188,null
4726512,1,26,188,null
4726517,1,26,445,null
4726299,1,26,188,null
4725522,1,26,188,null
4725176,1,26,412,null
4724466,1,26,195,null
4724678,1,26,188,null
4724673,1,26,188,null
4724697,1,26,445,null
4723352,1,26,188,null
4724376,1,26,445,null
4722542,1,26,445,null
4724555,1,26,155,null
4724126,1,26,188,null
4723578,1,26,188,null
4723758,1,26,235,null
4723747,1,26,235,null
4723697,1,26,235,null
4723653,1,26,445,null
4723475,1,26,445,null
4723314,1,26,188,null
4722702,1,26,188,null
4722553,1,26,188,null
4722127,1,26,188,null
4722116,1,26,150,null
4722101,1,26,190,null
4721864,1,26,445,null
4721119,1,26,188,null
4720580,6,71,220,null
4720576,6,71,220,null
4730391,1,62,48,null
4728776,1,62,138,null
4727338,1,62,252,null
4727666,1,62,167,null
4726526,1,62,48,null
4725938,1,62,436,null
4725087,1,62,48,null
4722346,1,62,284,null
4722368,1,62,411,null
4720515,1,62,252,null
4719789,1,62,190,null
4716201,1,62,252,null
4716708,1,62,319,null
4716307,1,62,437,null
4715120,1,62,62,null
4715012,1,62,436,null
4714748,1,62,422,null
4714913,1,62,422,null
4712213,1,50,225,null
4710281,1,62,225,null
4704675,1,62,289,null
4710987,1,62,257,null
4706806,1,62,436,null
4708507,1,62,436,null
4706839,1,62,436,null
4707479,1,62,412,null
4728878,1,39,190,null
4728396,1,39,317,null
4727775,1,39,317,null
4725728,1,39,317,null
4724214,1,39,317,null
4723755,1,39,317,null
4723372,1,39,190,null
4721909,1,39,317,null
4721672,1,39,166,null
4718674,1,39,317,null
4718366,1,39,105,null
4718197,1,39,317,null
4717892,1,39,128,null
4716340,1,39,47,null
4716860,1,39,190,null
4714204,1,39,317,null
4713466,1,39,190,null
4713378,1,39,317,null
4711887,1,39,190,null
4709649,1,39,190,null
4710409,1,39,190,null
4710015,1,39,190,null
4709217,1,39,257,null
4708996,1,39,317,null
4708959,1,39,190,null
4706957,1,39,252,null
4706826,1,39,317,null
4706493,1,39,190,null
4705994,1,39,190,null
4705816,1,39,18,null
4704736,1,39,190,null
4704051,1,39,256,null
4699617,1,39,190,null
4699362,1,39,190,null
4698838,1,39,317,null
4697818,1,39,190,null
4697337,1,39,317,null
4697074,1,39,317,null
4696449,1,39,317,null
4694686,1,39,317,null
4694846,1,39,190,null
4694132,1,39,257,null
4690502,1,39,190,null
4693564,1,39,317,null
4692379,1,39,43,null
4693236,1,39,190,null
4693188,1,39,166,null
4692714,1,39,190,null
4691082,1,39,317,null
4689944,1,39,190,null
4689365,1,39,317,null
4688955,1,39,317,null
4688744,1,39,190,null
4688064,1,39,190,null
4687960,1,39,317,null
