id_news,id_cd,id_cm,id_author,id_btv
4731575,26,1,436,0
4730586,26,1,190,0
4728189,26,1,412,0
4727226,26,1,190,0
4726910,26,1,445,0
4726825,26,1,445,0
4726734,26,1,188,0
4726674,26,1,188,0
4726512,26,1,188,0
4726517,26,1,445,0
4726299,26,1,188,0
4725522,26,1,188,0
4725176,26,1,412,0
4724466,26,1,195,0
4724678,26,1,188,0
4724673,26,1,188,0
4724697,26,1,445,0
4723352,26,1,188,0
4724376,26,1,445,0
4722542,26,1,445,0
4724555,26,1,155,0
4724126,26,1,188,0
4723578,26,1,188,0
4723758,26,1,235,0
4723747,26,1,235,0
4723697,26,1,235,0
4723653,26,1,445,0
4723475,26,1,445,0
4723314,26,1,188,0
4722702,26,1,188,0
4722553,26,1,188,0
4722127,26,1,188,0
4722116,26,1,150,0
4722101,26,1,190,0
4721864,26,1,445,0
4721119,26,1,188,0
4720580,71,6,220,0
4720576,71,6,220,0
4730391,62,1,48,0
4728776,62,1,138,0
4727338,62,1,252,0
4727666,62,1,167,0
4726526,62,1,48,0
4725938,62,1,436,0
4725087,62,1,48,0
4722346,62,1,284,0
4722368,62,1,411,0
4720515,62,1,252,0
4719789,62,1,190,0
4716201,62,1,252,0
4716708,62,1,319,0
4716307,62,1,437,0
4715120,62,1,62,0
4715012,62,1,436,0
4714748,62,1,422,0
4714913,62,1,422,0
4712213,50,1,225,0
4710281,62,1,225,0
4704675,62,1,289,0
4710987,62,1,257,0
4706806,62,1,436,0
4708507,62,1,436,0
4706839,62,1,436,0
4707479,62,1,412,0
4728878,39,1,190,0
4728396,39,1,317,0
4727775,39,1,317,0
4725728,39,1,317,0
4724214,39,1,317,0
4723755,39,1,317,0
4723372,39,1,190,0
4721909,39,1,317,0
4721672,39,1,166,0
4718674,39,1,317,0
4718366,39,1,105,0
4718197,39,1,317,0
4717892,39,1,128,0
4716340,39,1,47,0
4716860,39,1,190,0
4714204,39,1,317,0
4713466,39,1,190,0
4713378,39,1,317,0
4711887,39,1,190,0
4709649,39,1,190,0
4710409,39,1,190,0
4710015,39,1,190,0
4709217,39,1,257,0
4708996,39,1,317,0
4708959,39,1,190,0
4706957,39,1,252,0
4706826,39,1,317,0
4706493,39,1,190,0
4705994,39,1,190,0
4705816,39,1,18,0
4704736,39,1,190,0
4704051,39,1,256,0
4699617,39,1,190,0
4699362,39,1,190,0
4698838,39,1,317,0
4697818,39,1,190,0
4697337,39,1,317,0
4697074,39,1,317,0
4696449,39,1,317,0
4694686,39,1,317,0
4694846,39,1,190,0
4694132,39,1,257,0
4690502,39,1,190,0
4693564,39,1,317,0
4692379,39,1,43,0
4693236,39,1,190,0
4693188,39,1,166,0
4692714,39,1,190,0
4691082,39,1,317,0
4689944,39,1,190,0
4689365,39,1,317,0
4688955,39,1,317,0
4688744,39,1,190,0
4688064,39,1,190,0
4687960,39,1,317,0
4731861,50,1,169,0
4731932,50,1,47,0
4731254,50,1,437,0
4731021,50,1,437,0
4730568,50,1,437,0
4730488,50,1,252,0
4730409,50,1,272,0
4729893,50,1,47,0
4730246,50,1,47,0
4730239,50,1,412,0
4730082,50,1,67,0
4729523,50,1,47,0
4729280,50,1,225,0
4729307,50,1,272,0
4729017,50,1,47,0
4728768,50,1,437,0
4728424,50,1,257,0
4728184,50,1,438,0
4728349,50,1,47,0
4728236,50,1,67,0
4727728,50,1,437,0
4726467,50,1,47,0
4727200,50,1,193,0
4726969,50,1,445,0
4726580,50,1,47,0
4726152,50,1,67,0
4726071,50,1,437,0
4725979,50,1,67,0
4725985,50,1,257,0
4725771,50,1,252,0
4725365,50,1,272,0
4725148,50,1,272,0
4723243,50,1,378,0
4724610,50,1,47,0
4724366,50,1,47,0
4724182,50,1,437,0
4722671,50,1,339,0
4723979,50,1,347,0
4723875,50,1,347,0
4721731,50,1,47,0
4723781,50,1,67,0
4722978,50,1,67,0
4722882,50,1,252,0
4722352,50,1,445,0
4722392,50,1,190,0
4722322,50,1,67,0
4722069,50,1,47,0
4722162,50,1,437,0
4721979,50,1,445,0
4721919,50,1,272,0
4731850,21,1,441,0
4731470,21,1,289,0
4731410,21,1,150,0
4731177,21,1,150,0
4726768,21,1,150,0
4726300,21,1,210,0
4726037,21,1,150,0
4725990,21,1,150,0
4725255,21,1,441,0
4725802,36,4,284,0
4725097,21,1,289,0
4725074,21,1,150,0
4730094,16,12,365,0
4728333,59,12,333,0
4724332,51,11,186,0
4725944,59,12,241,0
4725611,2,1,259,0
4721897,19,12,442,0
4723342,59,12,442,0
4716363,59,12,442,0
4722665,2,1,259,0
4717380,19,12,442,0
4718936,59,12,365,0
4719285,2,1,259,0
4717144,59,12,111,0
4717406,2,1,259,0
4714795,59,12,333,0
4712733,51,11,186,0
4709626,59,12,241,0
4708532,2,1,335,0
4708280,2,1,335,0
4705692,59,12,111,0
4702907,59,12,111,0
4699874,51,11,186,0
4700493,59,12,333,0
4698010,59,12,442,0
4696671,2,1,259,0
4694380,59,12,241,0
4497711,2,1,386,0
4298894,2,1,386,0
4701607,2,1,8,0
4694645,2,1,259,0
4691660,59,12,333,0
4692171,2,1,272,0
4690941,2,1,259,0
4690917,2,1,259,0
4688498,59,12,442,0
4686883,59,12,111,0
4686217,2,1,259,0
4683642,59,12,333,0
4683822,2,1,187,0
4682504,2,1,187,0
4681370,59,12,241,0
4681905,2,1,171,0
4678724,59,12,442,0
4680135,2,1,170,0
4674795,59,12,241,0
4677641,2,1,259,0
4677414,2,1,259,0
4676286,19,12,2,0
4675811,28,10,400,0
4675832,59,12,333,0
4731772,47,3,25,0
4731581,47,3,25,0
4727792,47,3,25,0
4729603,47,3,433,0
4730746,47,3,28,0
4731049,47,3,25,0
4730741,47,3,28,0
4730038,47,3,28,0
4730330,47,3,28,0
4730292,47,3,162,0
4723528,47,3,26,0
4730035,47,3,273,0
4729342,47,3,25,0
4724796,47,3,25,0
4729555,47,3,273,0
4728487,47,3,26,0
4729375,47,3,26,0
4728875,47,3,28,0
4728916,47,3,25,0
4718416,47,3,433,0
4724765,47,3,28,0
4726611,47,3,26,0
4721613,47,3,433,0
4726419,47,3,433,0
4723724,47,3,433,0
4728393,47,3,433,0
4728422,47,3,25,0
4728448,47,3,273,0
4728374,47,3,28,0
4724095,47,3,433,0
4726828,47,3,28,0
4727941,47,3,28,0
4727494,47,3,433,0
4727549,47,3,26,0
4727332,47,3,433,0
4726344,47,3,273,0
4720259,47,3,433,0
4726569,47,3,28,0
4726593,47,3,25,0
4726478,47,3,273,0
4726149,47,3,25,0
4721884,47,3,265,0
4725892,47,3,396,0
4725757,47,3,52,0
4725221,47,3,433,0
4725285,47,3,25,0
4724527,47,3,433,0
4723421,47,3,25,0
4724290,47,3,28,0
4723882,47,3,26,0
4723448,47,3,25,0
4722036,47,3,28,0
4722522,47,3,25,0
4722479,47,3,28,0
4721855,47,3,25,0
4722723,47,3,25,0
4722507,47,3,433,0
4731568,25,3,28,0
4731128,25,3,433,0
4730742,25,3,433,0
4729837,25,3,433,0
4730291,25,3,25,0
4730285,25,3,433,0
4729616,25,3,25,0
4729817,25,3,25,0
4729807,25,3,28,0
4729349,25,3,433,0
4729323,25,3,28,0
4727963,25,3,25,0
4728877,25,3,433,0
4727949,25,3,433,0
4727590,25,3,25,0
4727053,25,3,433,0
4727278,25,3,25,0
4727040,25,3,25,0
4726571,25,3,433,0
4727057,25,3,396,0
4726576,25,3,433,0
4726139,25,3,433,0
4726134,25,3,28,0
4725208,25,3,28,0
4725685,25,3,25,0
4725660,25,3,28,0
4725684,25,3,52,0
4725052,25,3,25,0
4724984,25,3,28,0
4724744,25,3,433,0
4724301,25,3,433,0
4723906,25,3,25,0
4723859,25,3,28,0
4723437,25,3,433,0
4723679,25,3,28,0
4723445,25,3,28,0
4722770,25,3,433,0
4720725,25,3,28,0
4722557,25,3,28,0
4721651,25,3,28,0
4722258,25,3,28,0
4722044,25,3,433,0
4721194,25,3,25,0
4721175,25,3,28,0
4720748,25,3,433,0
4720759,25,3,25,0
4718625,25,3,28,0
4720280,25,3,25,0
4719859,25,3,25,0
4719365,25,3,25,0
4719353,25,3,433,0
4719168,25,3,28,0
4718904,25,3,25,0
4718425,25,3,25,0
4717970,25,3,433,0
4717469,25,3,433,0
4716108,25,3,28,0
4716546,25,3,433,0
4716929,25,3,28,0
4715884,25,3,433,0
4730101,54,3,265,0
4730165,54,3,64,0
4728489,54,3,26,0
4726218,54,3,26,0
4725920,54,3,26,0
4722544,54,3,26,0
4722355,54,3,396,0
4722401,54,3,326,0
4722320,54,3,25,0
4720625,26,1,220,0
4719614,54,3,25,0
4717403,54,3,64,0
4717056,54,3,25,0
4661184,54,3,26,0
4714474,54,3,244,0
4713965,54,3,26,0
4712063,54,3,45,0
4711053,54,3,26,0
4709957,54,3,26,0
4707118,54,3,26,0
4705781,54,3,26,0
4703038,54,3,26,0
4702758,54,3,26,0
4699984,54,3,26,0
4699581,54,3,275,0
4698165,54,3,26,0
4697829,54,3,273,0
4696232,54,3,25,0
4695908,54,3,26,0
4695233,54,3,26,0
4695136,54,3,52,0
4683359,54,3,26,0
4685644,54,3,244,0
4684789,54,3,64,0
4684057,54,3,26,0
4683198,54,3,26,0
4683366,54,3,25,0
4680526,54,3,205,0
4680081,54,3,45,0
4676517,54,3,64,0
4675753,54,3,396,0
4674701,54,3,45,0
4675033,54,3,64,0
4675011,54,3,326,0
4673953,54,3,26,0
4673803,54,3,25,0
4672885,54,3,26,0
4670193,54,3,26,0
4669542,54,3,64,0
4669552,54,3,326,0
4668267,54,3,214,0
4668201,54,3,64,0
4666147,54,3,265,0
4665718,54,3,396,0
4665060,54,3,396,0
4664298,54,3,26,0
4663915,54,3,26,0
4662283,54,3,273,0
4658697,54,3,25,0
4657222,54,3,26,0
4732008,6,3,26,0
4731885,6,3,28,0
4731858,6,3,265,0
4731683,6,3,26,0
4731617,6,3,26,0
4731596,6,3,265,0
4731448,6,3,52,0
4725252,6,3,265,0
4731301,6,3,273,0
4731197,6,3,265,0
4731153,6,3,265,0
4730936,6,3,396,0
4730791,6,3,26,0
4730876,6,3,26,0
4730836,6,3,244,0
4730743,6,3,26,0
4730624,6,3,396,0
4730411,6,3,244,0
4729582,6,3,26,0
4730452,6,3,26,0
4730416,6,3,396,0
4730341,6,3,26,0
4730317,6,3,26,0
4730271,6,3,244,0
4730071,6,3,396,0
4730073,6,3,26,0
4729607,6,3,396,0
4729430,6,3,396,0
4729362,6,3,265,0
4728993,6,3,273,0
4729154,6,3,26,0
4729062,6,3,265,0
4729028,6,3,396,0
4729122,6,3,396,0
4728746,6,3,244,0
4728377,6,3,26,0
4728276,6,3,26,0
4728218,6,3,396,0
4728202,6,3,265,0
4727714,6,3,26,0
4728061,6,3,26,0
4727980,6,3,265,0
4727717,6,3,265,0
4727993,6,3,26,0
4727730,6,3,396,0
4727537,6,3,26,0
4727516,6,3,265,0
4727312,6,3,265,0
4727126,6,3,26,0
4727074,6,3,265,0
4727055,6,3,26,0
4727015,6,3,273,0
4726610,6,3,26,0
4726608,6,3,265,0
4726345,6,3,396,0
4726173,6,3,26,0
4726148,6,3,396,0
4732003,64,3,175,0
4731626,64,3,175,0
4731873,64,3,273,0
4731782,64,3,26,0
4731766,64,3,64,0
4731675,64,3,64,0
4731635,64,3,64,0
4731567,64,3,175,0
4731504,64,3,175,0
4731499,64,3,175,0
4730458,64,3,175,0
4731221,64,3,64,0
4731400,64,3,52,0
4731371,64,3,52,0
4729455,64,3,175,0
4731264,64,3,273,0
4731206,64,3,64,0
4731188,64,3,175,0
4731184,64,3,52,0
4731138,64,3,52,0
4731112,64,3,175,0
4730984,64,3,175,0
4731108,64,3,64,0
4730455,64,3,52,0
4731080,64,3,64,0
4731064,64,3,64,0
4731043,64,3,64,0
4730797,64,3,64,0
4730858,64,3,64,0
4730958,64,3,175,0
4730802,64,3,175,0
4730589,64,3,175,0
4730751,64,3,175,0
4730752,64,3,52,0
4730750,64,3,64,0
4730551,64,3,175,0
4730407,64,3,64,0
4730264,64,3,64,0
4730297,64,3,175,0
4730396,64,3,52,0
4730312,64,3,52,0
4730273,64,3,64,0
4730265,64,3,64,0
4730193,64,3,175,0
4729854,64,3,64,0
4729966,64,3,175,0
4730160,64,3,64,0
4730010,64,3,175,0
4730050,64,3,64,0
4729865,64,3,52,0
4729831,64,3,175,0
4729809,64,3,52,0
4729793,64,3,305,0
